| Algorithm         | prob       | n      | t                      | n_it   | f_opt                    | g_norm                  | fevals   | gevals   | nfails   | nnegeig   | cosmax   |
| QPS-randdir       | CLPLATEB   | 4970   | 0.052823781967163086   | 22     | -0.00028403993921200584  | 0.000956746456804771    | 89       | 23       | 0        | 0         | ----     |
| QPS-Newton_Matteo | CLPLATEB   | 4970   | 0.1812582015991211     | 98     | -0.004958482880649835    | 0.0009804252100556864   | 294      | 99       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CLPLATEC   | 4970   | 11.73823356628418      | 5000   | -7.045481769822448e-05   | 0.0018292161831426085   | 20001    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CLPLATEC   | 4970   | 6.877492189407349      | 3613   | -0.005020557732161579    | 0.0008690144707526513   | 10839    | 3614     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | COSINE     | 10000  | 0.08825922012329102    | 23     | -9998.999999976764       | 0.000971028479196734    | 94       | 24       | 0        | 0         | ----     |
| QPS-Newton_Matteo | COSINE     | 10000  | 0.023029565811157227   | 8      | -9998.99999994983        | 0.0009890443200370935   | 25       | 9        | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CRAGGLVY   | 5000   | 0.8967504501342773     | 319    | 1688.2153105204757       | 0.0009978262527938903   | 1277     | 320      | 0        | 0         | ----     |
| QPS-Newton_Matteo | CRAGGLVY   | 5000   | 0.1671144962310791     | 72     | 1688.2153101700937       | 0.0007370220682694894   | 232      | 73       | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CURLY10    | 10000  | 12.6153724193573       | 5000   | -1003149.3950585338      | 0.5352048806104133      | 20002    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CURLY10    | 10000  | 9.311071634292603      | 5000   | -1003162.6625503881      | 0.02894045015018299     | 15000    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
| QPS-randdir       | CURLY20    | 10000  | 16.423603057861328     | 5000   | -1003128.2432888164      | 2.219663344560624       | 20003    | 5001     | 0        | 0         | ----     |
| QPS-Newton_Matteo | CURLY20    | 10000  | 12.544426679611206     | 5000   | -1003162.3765267201      | 0.07959318439555028     | 15002    | 5001     | 0        | 0         | ----     |
| --                | --         | --     | --                     | --     | --                       | --                      | --       | --       | --       | --        | --       |
